Title,Price,Date
"<span class=""a-size-large product-title-word-break"" id=""productTitle"">
             Bedsure Linen Duvet Cover Queen Linen Cotton Blend Duvet Cover Set - 3 Pieces Comforter Cover Set (90 x 90 inchs,No Comforter Included)
            </span>","<span class=""a-offscreen"">
                                 $69.99
                                </span>",2024-03-21
"Bedsure Linen Duvet Cover Queen Linen Cotton Blend Duvet Cover Set - 3 Pieces Comforter Cover Set (90 x 90 inchs,No Comforter Included)",$69.99,2024-03-22
